Date,Nifty,CCIL,Mibor,Gold,Hybrid
31-12-2003,5838.96,1000,100.01,6031.43,1000
01-01-2004,5915.47,999.71,100.02,6043.32,1006.41
02-01-2004,6026.59,1000.74,100.06,6032.52,1016.44
03-01-2004,6039,1003.78,100.07,6150.64,1019.02
04-01-2004,5943.64,1003.39,100.09,6135.18,1010.66
05-01-2004,5957.02,1000.96,100.1,6095.41,1010.59
06-01-2004,6108.54,1003.59,100.11,6142.11,1024.88
07-01-2004,6119.59,1004.15,100.15,6176.15,1026.1
08-01-2004,6067.76,1003.02,100.16,6137.64,1021.1
09-01-2004,6132.97,1002.1,100.17,6124.1,1026.23
10-01-2004,6194.11,1003.46,100.19,6058.19,1032.14
11-01-2004,6063.91,1002.93,100.2,5915.92,1020.73
12-01-2004,5946.19,1002.44,100.23,5877.17,1010.4
13-01-2004,6064.1,1003.38,100.25,5893.42,1020.97
14-01-2004,5922.11,1002.57,100.26,5965.61,1008.4
15-01-2004,5758.19,1003.13,100.27,5930.25,994.65
16-01-2004,5593.74,1003.02,100.28,5921.26,980.51
17-01-2004,5816.64,1003.19,100.32,5899,999.68
18-01-2004,5816.64,1003.92,100.33,5832.99,1000.05
19-01-2004,5993.06,1003.78,100.35,5929.48,1015.09
20-01-2004,5876.05,1003.42,100.36,5930.79,1004.88
21-01-2004,5802.75,1000.82,100.37,5766.3,997.31
22-01-2004,5695.67,999.87,100.41,5803.95,987.66
23-01-2004,5695.67,997.28,100.42,5743.4,986.37
24-01-2004,5620.98,999.32,100.43,5766.51,980.99
25-01-2004,5756.76,1003.57,100.44,5779.44,994.74
26-01-2004,5720.63,1002.56,100.46,5720.3,991.14
27-01-2004,5786.35,1000.47,100.49,5816.97,995.73
28-01-2004,5926.22,1000.28,100.51,5858.16,1007.61
29-01-2004,5932.52,999.26,100.52,5848.87,1007.64
30-01-2004,5949.78,996.46,100.53,5923.93,1007.72
31-01-2004,5936.96,997.16,100.54,5944.41,1006.97
01-02-2004,6011.66,996.95,100.58,5902.11,1013.26
02-02-2004,6012.35,991.96,100.59,5934.32,1010.83
03-02-2004,6035.8,990.98,100.61,5985.47,1012.35
04-02-2004,6027.02,991.17,100.62,5914.77,1011.69
05-02-2004,5855.1,992.87,100.63,5907.89,997.82
06-02-2004,5850.72,992.31,100.67,5732.58,997.16
07-02-2004,5698.04,996.62,100.68,5753.51,986.24
08-02-2004,5734.44,996.99,100.69,5823.72,989.54
09-02-2004,5618.15,998.75,100.71,5696.18,980.47
10-02-2004,5567.12,998.77,100.72,5690.06,976.1
11-02-2004,5667.51,997.59,100.75,5706.8,984.11
12-02-2004,5823.17,998.54,100.77,5761.2,997.92
13-02-2004,5823.17,998.72,100.78,5662.71,998.01
14-02-2004,5842.2,999.77,100.79,5670.06,1000.16
15-02-2004,5815.87,1001.73,100.8,5666.45,998.89
16-02-2004,5880.35,1000.69,100.84,5795.97,1003.89
17-02-2004,5935.19,1003.08,100.85,5780.01,1009.78
18-02-2004,5850.61,1004.14,100.87,5794.4,1003.07
19-02-2004,5759.29,1005.46,100.88,5760.94,995.91
20-02-2004,5649.86,1005.88,100.89,5797.22,986.75
21-02-2004,5700.4,1007.68,100.93,5697.08,991.97
22-02-2004,5520.66,1009.74,100.94,5754,977.61
23-02-2004,5525.09,1009.14,100.95,5800.82,977.69
24-02-2004,5535.69,1011.13,100.97,5864.06,979.6
25-02-2004,5414.94,1012.25,100.98,5928.2,969.82
26-02-2004,5443.44,1013.48,101.02,5929.81,972.87
27-02-2004,5365.4,1015.18,101.03,5988.05,967.04
28-02-2004,5400.99,1013.77,101.04,5993.14,969.38
29-02-2004,5395.28,1013.79,101.05,5918.81,968.9
01-03-2004,5414.44,1014.65,101.07,5932.56,970.97
02-03-2004,5528.94,1016.81,101.1,5979.43,981.86
03-03-2004,5571.37,1017.13,101.12,5862.87,985.65
04-03-2004,5520.44,1017.32,101.13,5908.21,981.38
05-03-2004,5590.6,1017.76,101.14,5888.22,987.61
06-03-2004,5740.85,1020.29,101.15,5879.34,1001.74
07-03-2004,5788.08,1022.09,101.19,5827.48,1006.69
